12345 John Doe             A 00082.30 0034 S
12346 Matt Cow             A 00099.90 0001 N
12347 Bran Bob             D 00110.00 0000 N
12348 Ashe Ace             A 02407.60 0024 N
12349 Anon Guy             A 01600.81 0003 S
12350 Anon Guy             A 01100.50 0003 N
12351 Student Guy          A 00489.70 0006 S
12352 NEET Guy             A 00489.40 0006 N
12353 Loaded Guy           A 01000.00 0001 S
12354 Loaded Guy           A 01000.00 0001 N
12355 Ashe Ace             A 05999.70 0003 N
12356 Loaded Guy           A 01000.05 0000 S
12357 Loaded Guy           A 01000.10 0000 N
12358 Loaded Guy           A 00000.00 0001 S
12359 Loaded Guy           A 02000.10 0000 N
12360 Moth Wallet          A 00000.05 0000 S
12361 Ashe Ace             A 99992.90 0001 N
12362 Ashe Ace             A 99992.90 0001 N
12380 Octopus              A 00019.60 0006 N
12381 Octopus              A 00019.80 0006 S
12382 Octopus              A 00009.90 0003 N
12383 Octopus              A 00009.95 0003 S
12384 Octopus              A 00010.00 0002 N
12385 Octopus              A 00004.95 0003 S
12386 Octopus              A 00005.00 0002 N
12387 Octopus              A 00005.00 0002 S
00000 END_OF_FILE          A 00000.00 0270 S
