12345 John Doe             A 00079.85 0063 S
12346 Matt Cow             A 00089.80 0002 N
12347 Bran Bob             D 00110.00 0000 N
12348 Ashe Ace             A 02895.70 0043 N
12349 Anon Guy             A 02100.66 0006 S
12350 Anon Guy             A 01600.20 0006 N
12351 Student Guy          A 00479.40 0012 S
12352 NEET Guy             A 00478.80 0012 N
12353 Loaded Guy           A 01499.95 0002 S
12354 Loaded Guy           A 01499.90 0002 N
12355 Ashe Ace             A 01999.40 0006 N
12356 Loaded Guy           A 01000.05 0000 S
12357 Loaded Guy           A 01000.10 0000 N
12358 Loaded Guy           A 00000.00 0001 S
12359 Loaded Guy           A 02000.10 0000 N
12360 Moth Wallet          A 00000.05 0000 S
12361 Ashe Ace             A 99989.80 0002 N
12362 Ashe Ace             A 99989.80 0002 N
12380 Octopus              A 00029.00 0012 N
12381 Octopus              A 00029.50 0012 S
12382 Octopus              A 00009.60 0006 N
12383 Octopus              A 00009.80 0006 S
12384 Octopus              A 00009.80 0004 N
12385 Octopus              A 00009.90 0004 S
12386 Octopus              A 00009.90 0003 N
12387 Octopus              A 00009.95 0003 S
00000 END_OF_FILE          A 00000.00 0540 S
